user_id,age,gender,city,area,registration_date,membership_type,acquisition_channel
U00074,25,Female,Pune,Wakad,2026-02-05,Basic,Google
U00075,36,Male,Mumbai,Thane,2026-04-07,Basic,Other
U00076,35,Male,Mumbai,Powai,2025-07-30,Basic,Google
U00077,30,Male,Pune,Wakad,2025-01-26,Basic,Referral
U00078,30,Male,Bengaluru,HSR Layout,2025-09-09,Premium,Google
U00079,41,Male,Bengaluru,Yelahanka,2025-01-03,Premium,YouTube
U00080,36,Female,Bengaluru,Yelahanka,2025-01-02,Basic,Instagram
U00081,40,Male,Pune,Baner,2025-01-02,Basic,Instagram
U00082,29,Male,Mumbai,Borivali,2025-05-30,Basic,College/Community
U00083,34,Female,Bengaluru,Indiranagar,2026-08-06,Basic,Google
U00084,45,Male,Bengaluru,HSR Layout,2025-01-04,Premium,Google
U00085,39,Female,Bengaluru,Jayanagar,2026-05-12,Pro,Referral
U00086,29,Male,Bengaluru,Electronic City,2026-07-04,Premium,YouTube
U00087,45,Male,Mumbai,Powai,2026-04-13,Basic,Instagram
U00088,30,Female,Mumbai,Borivali,2025-03-11,Basic,Instagram
U00089,42,Male,Pune,Wakad,2025-07-20,Basic,Other
U00090,29,Male,Hyderabad,Banjara Hills,2025-11-04,Pro,Referral
U00091,36,Female,Bengaluru,Indiranagar,2025-09-09,Pro,Google
U00092,31,Female,Mumbai,Thane,2025-10-14,Basic,College/Community
U00093,24,Other,Pune,Hinjewadi,2025-10-19,Basic,Referral
U00094,30,Male,Hyderabad,Madhapur,2025-06-03,Premium,Instagram
U00095,23,Male,Pune,Kothrud,2025-05-13,Basic,Instagram
U00096,41,Female,Hyderabad,Kukatpally,2026-08-09,Premium,Google
U00097,36,Male,Hyderabad,Banjara Hills,2025-10-01,Premium,College/Community
U00098,36,Male,Hyderabad,Banjara Hills,2026-05-24,Basic,Instagram
U00099,21,Female,Bengaluru,Indiranagar,2025-12-19,Pro,Instagram
U00100,36,Male,Bengaluru,Marathahalli,2025-01-05,Pro,College/Community
U00101,26,Male,Bengaluru,Electronic City,2025-10-20,Pro,Instagram
U00102,33,Female,Mumbai,Powai,2025-12-26,Basic,Referral
U00103,44,Male,Bengaluru,Electronic City,2026-08-21,Basic,Instagram
U00104,21,Male,Hyderabad,Madhapur,2025-08-02,Basic,Referral
U00105,23,Male,Chennai,T Nagar,2026-02-10,Basic,Google
U00106,25,Female,Bengaluru,Indiranagar,2026-03-12,Basic,Instagram
U00107,44,Male,Bengaluru,Electronic City,2025-01-15,Basic,Referral
U00108,41,Male,Pune,Viman Nagar,2025-09-30,Premium,YouTube
U00109,33,Female,Bengaluru,Indiranagar,2026-07-17,Basic,YouTube
U00110,22,Female,Bengaluru,Yelahanka,2025-02-14,Basic,Referral
U00111,38,Male,Bengaluru,Yelahanka,2026-02-16,Basic,Referral
U00112,39,Female,Bengaluru,Jayanagar,2025-07-06,Premium,Referral
U00113,27,Female,Chennai,OMR,2025-06-19,Premium,Referral
U00114,40,Female,Pune,Hinjewadi,2026-08-17,Basic,YouTube
U00115,30,Male,Mumbai,Andheri,2026-02-05,Pro,Referral
U00116,43,Female,Pune,Viman Nagar,2025-09-03,Basic,Referral
U00117,31,Male,Pune,Kothrud,2026-07-06,Basic,Instagram
U00118,24,Male,Bengaluru,Yelahanka,2025-02-12,Premium,Instagram
U00119,37,Male,Chennai,Anna Nagar,2025-06-28,Premium,Google
U00120,23,Female,Hyderabad,Madhapur,2026-04-02,Basic,College/Community
U00121,24,Male,Pune,Baner,2026-06-19,Pro,YouTube
U00122,22,Male,Chennai,Anna Nagar,2025-09-01,Pro,Referral
U00123,38,Female,Bengaluru,Yelahanka,2025-01-17,Basic,Google
U00124,35,Female,Bengaluru,Indiranagar,2025-04-22,Basic,Instagram
U00125,40,Female,Bengaluru,Whitefield,2026-08-21,Basic,College/Community
U00126,29,Male,Hyderabad,Gachibowli,2026-07-01,Basic,College/Community
U00127,23,Male,Pune,Hinjewadi,2025-01-30,Basic,Instagram
U00128,44,Female,Pune,Baner,2025-07-11,Premium,YouTube
U00129,18,Male,Bengaluru,Indiranagar,2026-03-13,Basic,Google
U00130,21,Female,Hyderabad,Gachibowli,2025-06-28,Premium,Google
U00131,36,Male,Bengaluru,Indiranagar,2026-04-19,Basic,YouTube
U00132,29,Female,Bengaluru,Koramangala,2025-05-14,Basic,Referral
U00133,32,Male,Bengaluru,Whitefield,2025-11-08,Basic,YouTube
U00134,20,Male,Bengaluru,Marathahalli,2025-01-25,Basic,Instagram
U00135,40,Female,Chennai,Velachery,2026-01-06,Basic,Google
U00136,44,Male,Bengaluru,Koramangala,2026-06-09,Premium,Google
U00137,45,Male,Hyderabad,Banjara Hills,2025-11-15,Basic,Google
U00138,43,Female,Mumbai,Borivali,2025-08-18,Basic,Referral
U00139,37,Male,Bengaluru,Marathahalli,2025-04-12,Premium,Google
U00140,45,Male,Chennai,Adyar,2026-03-26,Basic,Google
U00141,25,Male,Chennai,OMR,2026-01-13,Basic,Google
U00142,28,Male,Bengaluru,Indiranagar,2025-07-22,Basic,YouTube
U00143,33,Male,Hyderabad,Gachibowli,2025-09-24,Premium,Referral
U00144,26,Female,Bengaluru,Marathahalli,2026-04-07,Basic,Referral
U00145,20,Female,Bengaluru,Koramangala,2025-12-31,Basic,Instagram
U00146,22,Male,Bengaluru,Jayanagar,2025-04-14,Basic,Google
U00147,37,Male,Mumbai,Powai,2025-04-21,Pro,Instagram
U00148,31,Female,Hyderabad,Banjara Hills,2026-03-04,Basic,Instagram
U00149,45,Other,Bengaluru,Whitefield,2026-04-14,Premium,Google
U00150,43,Male,Bengaluru,Whitefield,2026-08-04,Premium,Instagram
U00151,32,Female,Chennai,Velachery,2026-07-15,Basic,Referral
U00152,23,Female,Bengaluru,Jayanagar,2025-09-07,Premium,Other
U00153,44,Male,Bengaluru,Electronic City,2026-04-27,Premium,Instagram
U00154,43,Male,Hyderabad,Gachibowli,2025-11-27,Basic,College/Community
U00155,21,Male,Chennai,OMR,2026-08-10,Basic,Instagram
U00156,25,Female,Bengaluru,Electronic City,2025-07-20,Basic,Referral
U00157,36,Female,Mumbai,Thane,2026-03-30,Basic,Referral
U00158,44,Female,Pune,Wakad,2026-05-19,Premium,College/Community
U00159,22,Male,Bengaluru,Indiranagar,2026-06-30,Basic,Instagram
U00160,30,Female,Mumbai,Thane,2025-04-21,Basic,Google
U00161,33,Female,Bengaluru,Koramangala,2026-06-28,Premium,Instagram
U00162,18,Female,Mumbai,Bandra,2025-07-28,Basic,Google
U00163,30,Male,Mumbai,Powai,2025-02-02,Basic,College/Community
U00164,39,Female,Hyderabad,Gachibowli,2026-07-09,Premium,YouTube
U00165,28,Male,Bengaluru,Indiranagar,2025-04-17,Basic,YouTube
U00166,38,Female,Pune,Baner,2025-09-22,Premium,Referral
U00167,25,Female,Bengaluru,Koramangala,2025-08-14,Basic,College/Community
U00168,42,Male,Bengaluru,Marathahalli,2026-05-02,Basic,Google
U00169,25,Female,Bengaluru,Jayanagar,2025-06-28,Basic,Instagram
U00170,41,Male,Hyderabad,Madhapur,2025-08-10,Basic,College/Community
U00171,45,Female,Mumbai,Thane,2026-01-05,Pro,Google
U00172,31,Male,Bengaluru,Indiranagar,2025-06-16,Pro,Instagram
U00173,30,Female,Hyderabad,Kondapur,2026-07-07,Premium,Instagram
U00174,20,Female,Bengaluru,Indiranagar,2025-10-27,Basic,Referral
U00175,21,Male,Mumbai,Borivali,2026-01-16,Pro,Referral
U00176,44,Male,Bengaluru,Electronic City,2025-02-04,Premium,Google
U00177,37,Male,Mumbai,Bandra,2026-02-11,Basic,YouTube
U00178,32,Male,Bengaluru,Indiranagar,2026-05-17,Premium,YouTube
U00179,32,Female,Chennai,T Nagar,2025-11-10,Basic,Other
U00180,44,Female,Bengaluru,Electronic City,2025-04-11,Basic,Referral
U00181,38,Female,Bengaluru,Yelahanka,2026-07-23,Premium,YouTube
U00182,30,Female,Bengaluru,Koramangala,2025-08-03,Premium,YouTube
U00183,26,Male,Chennai,Anna Nagar,2026-07-30,Basic,Google
U00184,45,Female,Pune,Kothrud,2025-03-03,Basic,Google
U00185,42,Female,Bengaluru,Jayanagar,2026-01-04,Pro,Referral
U00186,27,Male,Mumbai,Andheri,2026-01-03,Premium,Instagram
U00187,29,Male,Pune,Kothrud,2026-07-28,Basic,Google
U00188,31,Male,Hyderabad,Madhapur,2025-04-04,Basic,Referral
U00189,18,Female,Hyderabad,Kukatpally,2026-04-14,Basic,Instagram
U00190,31,Female,Bengaluru,Indiranagar,2025-01-26,Pro,Instagram
U00191,31,Female,Bengaluru,Electronic City,2026-03-11,Basic,Google
U00192,25,Male,Chennai,OMR,2025-05-01,Basic,YouTube
U00193,33,Female,Chennai,T Nagar,2025-02-19,Basic,College/Community
U00194,31,Male,Mumbai,Borivali,2025-02-05,Premium,Referral
U00195,18,Female,Bengaluru,Whitefield,2026-02-14,Basic,Referral
U00196,33,Male,Bengaluru,Indiranagar,2025-10-16,Premium,Google
U00197,35,Male,Mumbai,Bandra,2026-01-14,Basic,Instagram
U00198,24,Female,Chennai,Velachery,2025-04-10,Basic,Instagram
U00199,32,Female,Pune,Kothrud,2025-11-20,Pro,YouTube
U00200,41,Male,Pune,Baner,2025-11-25,Pro,Google
U00201,34,Male,Mumbai,Powai,2025-08-09,Pro,YouTube
U00202,36,Male,Bengaluru,Whitefield,2026-07-21,Pro,YouTube
U00203,40,Male,Bengaluru,HSR Layout,2025-04-20,Premium,Instagram
U00204,30,Male,Chennai,Anna Nagar,2025-05-29,Premium,Referral
U00205,26,Female,Mumbai,Powai,2026-02-10,Premium,Google
U00206,41,Female,Bengaluru,Jayanagar,2026-02-14,Basic,Google
U00207,41,Male,Bengaluru,Jayanagar,2025-05-09,Basic,Referral
U00208,32,Male,Mumbai,Thane,2026-04-29,Basic,Other
U00209,42,Male,Bengaluru,Indiranagar,2025-04-18,Pro,College/Community
U00210,43,Male,Bengaluru,Marathahalli,2026-01-24,Basic,College/Community
U00211,20,Male,Hyderabad,Kukatpally,2026-03-01,Premium,Instagram
U00212,41,Male,Mumbai,Powai,2026-03-23,Basic,Instagram
U00213,18,Male,Mumbai,Powai,2025-03-09,Basic,Instagram
U00214,33,Male,Bengaluru,Yelahanka,2025-03-07,Basic,Google
U00215,25,Male,Mumbai,Thane,2026-07-19,Basic,Google
U00216,40,Male,Bengaluru,Yelahanka,2026-05-19,Basic,Referral
U00217,30,Male,Bengaluru,Marathahalli,2026-05-19,Basic,Referral
U00218,25,Female,Mumbai,Thane,2025-11-17,Premium,College/Community
U00219,34,Female,Mumbai,Andheri,2026-08-03,Basic,Other
U00220,39,Female,Pune,Wakad,2026-03-23,Basic,Instagram
U00221,40,Male,Mumbai,Borivali,2026-07-28,Basic,College/Community
U00222,31,Male,Hyderabad,Kukatpally,2025-07-29,Premium,Referral
U00223,44,Male,Bengaluru,Whitefield,2026-01-05,Premium,Google
U00224,38,Male,Bengaluru,Indiranagar,2026-07-18,Premium,YouTube
U00225,38,Female,Bengaluru,HSR Layout,2026-04-03,Basic,Instagram
U00226,24,Male,Bengaluru,Jayanagar,2026-07-31,Basic,College/Community
U00227,44,Male,Chennai,Adyar,2025-06-12,Premium,YouTube
U00228,32,Female,Bengaluru,Jayanagar,2025-11-28,Premium,College/Community
U00229,33,Male,Chennai,Velachery,2025-12-16,Basic,Other
U00230,36,Other,Mumbai,Powai,2026-04-13,Basic,Referral
U00231,23,Male,Pune,Baner,2026-03-02,Basic,Instagram
U00232,40,Female,Hyderabad,Kondapur,2025-11-23,Basic,Instagram
U00233,18,Male,Hyderabad,Banjara Hills,2025-04-16,Premium,Google
U00234,29,Other,Hyderabad,Kukatpally,2025-09-12,Basic,Instagram
U00235,35,Male,Bengaluru,Electronic City,2025-12-24,Basic,College/Community
U00236,33,Female,Mumbai,Andheri,2026-03-20,Basic,Google
U00237,29,Male,Bengaluru,HSR Layout,2025-04-23,Pro,Other
U00238,37,Female,Bengaluru,Whitefield,2025-01-30,Premium,YouTube
U00239,30,Male,Mumbai,Thane,2026-06-08,Premium,Instagram
U00240,25,Male,Bengaluru,Indiranagar,2025-02-15,Basic,Referral
U00241,44,Female,Chennai,OMR,2025-06-20,Premium,Google
U00242,43,Female,Chennai,OMR,2025-05-10,Basic,Referral
U00243,39,Male,Chennai,OMR,2025-12-19,Basic,Referral
U00244,18,Female,Bengaluru,Jayanagar,2025-07-22,Basic,Instagram
U00245,43,Male,Bengaluru,Yelahanka,2025-08-14,Basic,YouTube
U00246,38,Female,Chennai,OMR,2025-03-21,Basic,Referral
U00247,24,Female,Hyderabad,Kukatpally,2025-11-06,Premium,YouTube
U00248,32,Male,Chennai,Adyar,2025-02-04,Basic,College/Community
U00249,39,Female,Chennai,T Nagar,2026-07-18,Basic,Instagram
U00250,30,Female,Pune,Wakad,2025-06-10,Basic,Instagram
U00251,30,Male,Bengaluru,Marathahalli,2026-08-19,Basic,YouTube
U00252,45,Female,Bengaluru,Whitefield,2026-03-11,Basic,Other
U00253,26,Male,Pune,Wakad,2026-06-22,Basic,Google
U00254,41,Female,Bengaluru,Marathahalli,2025-08-13,Basic,Google
U00255,32,Female,Bengaluru,HSR Layout,2026-03-22,Basic,Instagram
U00256,21,Male,Hyderabad,Kukatpally,2025-11-13,Basic,Google
U00257,30,Female,Chennai,Velachery,2026-02-18,Basic,Google
U00258,44,Female,Mumbai,Andheri,2025-04-05,Basic,Google
U00259,29,Female,Hyderabad,Banjara Hills,2025-08-13,Basic,Referral
U00260,22,Male,Bengaluru,HSR Layout,2026-07-07,Basic,Google
U00261,24,Male,Mumbai,Powai,2025-03-07,Premium,Instagram
U00262,25,Female,Chennai,OMR,2026-02-01,Basic,Google
U00263,22,Male,Bengaluru,Yelahanka,2025-07-29,Basic,College/Community
U00264,26,Male,Hyderabad,Madhapur,2026-04-19,Pro,Referral
U00265,31,Female,Pune,Baner,2026-07-25,Premium,Other
U00266,43,Male,Mumbai,Andheri,2026-05-05,Pro,Referral
U00267,29,Female,Mumbai,Thane,2025-06-29,Premium,Google
U00268,21,Female,Mumbai,Borivali,2026-06-08,Basic,Instagram
U00269,37,Female,Bengaluru,Electronic City,2026-04-04,Basic,YouTube
U00270,25,Male,Bengaluru,HSR Layout,2025-03-09,Premium,Referral
U00271,34,Male,Pune,Baner,2025-11-25,Pro,Referral
U00272,25,Male,Pune,Viman Nagar,2025-07-21,Premium,YouTube
U00273,38,Female,Pune,Wakad,2026-04-20,Premium,YouTube
U00274,44,Male,Chennai,Velachery,2026-06-02,Basic,Instagram
U00275,18,Female,Hyderabad,Gachibowli,2025-01-15,Basic,College/Community
U00276,37,Female,Hyderabad,Kukatpally,2025-02-11,Pro,Referral
U00277,19,Female,Pune,Kothrud,2026-06-27,Premium,Google
U00278,21,Male,Mumbai,Borivali,2025-10-16,Pro,Referral
U00279,41,Male,Mumbai,Powai,2026-06-17,Premium,Referral
U00280,38,Female,Pune,Viman Nagar,2025-09-01,Basic,Instagram
U00281,18,Male,Chennai,Velachery,2026-07-21,Basic,Google
U00282,24,Male,Bengaluru,Electronic City,2026-08-21,Pro,Google
U00283,18,Male,Bengaluru,HSR Layout,2025-06-23,Basic,Google
U00284,26,Female,Bengaluru,Jayanagar,2026-06-18,Basic,Instagram
U00285,20,Female,Hyderabad,Madhapur,2026-05-24,Basic,Instagram
U00286,29,Male,Bengaluru,Marathahalli,2025-09-01,Basic,Instagram
U00287,36,Female,Hyderabad,Madhapur,2025-03-01,Basic,Google
U00288,32,Male,Hyderabad,Kukatpally,2025-04-14,Premium,College/Community
U00289,39,Female,Bengaluru,Yelahanka,2025-10-30,Basic,Instagram
U00290,33,Male,Hyderabad,Kondapur,2025-03-18,Basic,Google
U00291,27,Female,Bengaluru,Indiranagar,2025-01-18,Premium,Google
U00292,39,Male,Bengaluru,Whitefield,2026-06-18,Basic,YouTube
U00293,44,Male,Pune,Hinjewadi,2025-07-03,Premium,Instagram
U00294,44,Male,Bengaluru,Marathahalli,2026-07-04,Basic,Instagram
U00295,23,Male,Bengaluru,Electronic City,2025-10-08,Pro,Instagram
U00296,34,Female,Hyderabad,Kukatpally,2025-10-15,Basic,Other
U00297,38,Male,Pune,Wakad,2026-06-09,Basic,Referral
U00298,45,Male,Bengaluru,Whitefield,2026-04-19,Premium,Instagram
U00299,39,Male,Mumbai,Bandra,2025-09-24,Premium,Google
U00300,41,Male,Bengaluru,Indiranagar,2025-12-23,Basic,Instagram
U00301,34,Male,Bengaluru,HSR Layout,2025-01-01,Pro,Instagram
U00302,38,Male,Hyderabad,Banjara Hills,2025-01-27,Basic,YouTube
U00303,36,Male,Hyderabad,Gachibowli,2026-07-02,Pro,Referral
U00304,35,Male,Mumbai,Thane,2025-06-09,Basic,Referral
U00305,28,Male,Mumbai,Andheri,2026-02-03,Basic,Google
U00306,41,Female,Chennai,Anna Nagar,2026-06-27,Basic,Referral
U00307,24,Female,Hyderabad,Gachibowli,2025-05-07,Basic,Google
U00308,27,Male,Bengaluru,HSR Layout,2025-07-29,Basic,Google
U00309,24,Female,Pune,Wakad,2025-05-30,Basic,Referral
U00310,22,Female,Bengaluru,Whitefield,2025-01-31,Basic,Instagram
U00311,29,Male,Hyderabad,Madhapur,2025-10-29,Basic,Referral
U00312,33,Female,Bengaluru,Jayanagar,2025-09-14,Basic,College/Community
U00313,42,Male,Bengaluru,Jayanagar,2025-02-26,Premium,Instagram
U00314,38,Female,Chennai,Velachery,2025-01-09,Basic,College/Community
U00315,35,Male,Pune,Viman Nagar,2025-01-05,Premium,Instagram
U00316,20,Male,Mumbai,Bandra,2025-04-24,Pro,Google
U00317,37,Male,Bengaluru,Electronic City,2025-07-24,Premium,Referral
U00318,32,Other,Bengaluru,Marathahalli,2025-01-24,Pro,Referral
U00319,22,Female,Bengaluru,Koramangala,2026-05-08,Basic,Instagram
U00320,30,Male,Bengaluru,Marathahalli,2026-02-10,Basic,YouTube
U00321,36,Male,Hyderabad,Gachibowli,2025-04-13,Basic,Other
U00322,29,Male,Mumbai,Andheri,2025-03-01,Basic,Instagram
U00323,40,Male,Mumbai,Thane,2025-03-27,Premium,College/Community
U00324,38,Male,Bengaluru,Jayanagar,2026-01-07,Basic,Referral
U00325,22,Male,Chennai,Adyar,2026-08-19,Basic,Other
U00326,23,Female,Mumbai,Borivali,2025-07-21,Premium,Instagram
U00327,24,Female,Hyderabad,Gachibowli,2025-03-30,Basic,YouTube
U00328,43,Male,Mumbai,Thane,2026-03-13,Basic,Instagram
U00329,27,Male,Bengaluru,Indiranagar,2025-04-30,Basic,College/Community
U00330,33,Female,Bengaluru,Yelahanka,2025-06-05,Pro,YouTube
U00331,25,Female,Bengaluru,HSR Layout,2026-02-03,Premium,Google
U00332,26,Female,Pune,Baner,2025-07-07,Basic,Instagram
U00333,44,Female,Bengaluru,Jayanagar,2025-02-21,Basic,College/Community
U00334,21,Female,Bengaluru,Indiranagar,2026-06-15,Basic,Referral
U00335,38,Male,Bengaluru,Indiranagar,2026-04-25,Basic,Google
U00336,38,Male,Bengaluru,Koramangala,2026-08-10,Premium,Google
U00337,25,Female,Pune,Kothrud,2025-08-18,Basic,College/Community
U00338,42,Male,Mumbai,Andheri,2026-04-26,Basic,Google
U00339,24,Male,Hyderabad,Kondapur,2025-05-10,Pro,Instagram
U00340,32,Male,Bengaluru,Whitefield,2025-02-24,Premium,College/Community
U00341,38,Female,Hyderabad,Kondapur,2025-09-28,Premium,Google
U00342,20,Other,Hyderabad,Gachibowli,2025-04-10,Basic,Google
U00343,34,Male,Bengaluru,Electronic City,2025-03-10,Basic,Instagram
U00344,28,Male,Hyderabad,Gachibowli,2025-10-26,Basic,College/Community
U00345,26,Female,Bengaluru,Koramangala,2026-06-13,Basic,Instagram
U00346,22,Male,Mumbai,Thane,2025-12-20,Basic,Referral
U00347,42,Male,Mumbai,Andheri,2025-06-01,Premium,College/Community
U00348,27,Female,Bengaluru,Whitefield,2025-11-26,Pro,Instagram
U00349,32,Male,Bengaluru,Koramangala,2025-04-26,Basic,College/Community
U00350,45,Male,Mumbai,Thane,2026-06-26,Basic,Google
U00351,31,Female,Hyderabad,Gachibowli,2025-11-19,Premium,Referral
U00352,21,Male,Pune,Hinjewadi,2026-07-17,Pro,Google
U00353,38,Female,Mumbai,Bandra,2026-07-26,Premium,YouTube
U00354,37,Male,Bengaluru,Whitefield,2025-08-17,Basic,Google
U00355,19,Male,Bengaluru,Indiranagar,2025-12-26,Basic,Instagram
U00356,29,Male,Mumbai,Andheri,2025-01-05,Premium,Other
U00357,18,Male,Bengaluru,HSR Layout,2025-01-28,Premium,Instagram
U00358,41,Female,Hyderabad,Gachibowli,2025-12-30,Basic,College/Community
U00359,37,Female,Chennai,Adyar,2026-04-07,Basic,Instagram
U00360,22,Female,Hyderabad,Kukatpally,2025-08-19,Premium,Google
U00361,23,Male,Bengaluru,Marathahalli,2026-01-30,Basic,College/Community
U00362,41,Female,Mumbai,Bandra,2025-09-28,Premium,Instagram
U00363,28,Male,Hyderabad,Banjara Hills,2025-10-31,Basic,College/Community
U00364,25,Female,Hyderabad,Banjara Hills,2026-01-18,Premium,Referral
U00365,24,Female,Chennai,Anna Nagar,2026-07-12,Basic,Google
U00366,21,Male,Bengaluru,Whitefield,2025-01-28,Basic,Referral
U00367,23,Male,Chennai,Adyar,2026-06-03,Premium,Google
U00368,33,Male,Chennai,Velachery,2025-07-18,Premium,Google
U00369,37,Male,Bengaluru,Koramangala,2025-03-23,Pro,YouTube
U00370,32,Female,Bengaluru,Indiranagar,2025-03-29,Basic,Google
U00371,31,Male,Bengaluru,Marathahalli,2026-01-25,Premium,Instagram
U00372,40,Male,Bengaluru,HSR Layout,2026-08-03,Basic,College/Community
U00373,29,Male,Bengaluru,Koramangala,2026-03-27,Basic,College/Community
U00374,29,Female,Mumbai,Thane,2026-03-09,Premium,Referral
U00375,33,Male,Bengaluru,Marathahalli,2026-01-09,Basic,Referral
U00376,32,Male,Bengaluru,Jayanagar,2026-03-11,Basic,YouTube
U00377,30,Male,Pune,Baner,2025-07-06,Basic,Referral
U00378,28,Female,Bengaluru,Marathahalli,2026-01-25,Basic,Google
U00379,34,Male,Pune,Baner,2025-08-06,Pro,Other
U00380,38,Female,Bengaluru,Marathahalli,2025-04-18,Premium,Instagram
U00381,32,Male,Bengaluru,Indiranagar,2026-07-04,Basic,Referral
