booking_id,user_id,venue_id,booking_date,booking_time,sport,city,area,venue_name,court_type,duration_hours,players_count,booking_amount,discount,final_amount,payment_method,booking_status,cancellation_reason,booking_source,booking_lead_days,rating,booking_hour,month,day_type,weekday,is_cancelled
B000014,U02463,V042,2026-02-20,14:30:00,Badminton,Bengaluru,Marathahalli,Badminton Arena 042,Outdoor,1,1,700,0,700,UPI,Completed,,App,11,3.8,14,February,Weekday,Friday,0
B000015,U02038,V057,2026-05-13,21:30:00,Table Tennis,Bengaluru,Jayanagar,Table Tennis Arena 057,Outdoor,2,2,700,0,700,Card,Cancelled,Personal,App,13,,21,May,Weekday,Wednesday,1
B000016,U02420,V077,2026-06-16,10:00:00,Table Tennis,Bengaluru,Yelahanka,Table Tennis Arena 077,Indoor,1,2,300,0,300,UPI,Completed,,App,13,4.4,10,June,Weekday,Tuesday,0
B000017,U01675,V008,2026-02-10,15:30:00,Tennis,Hyderabad,Gachibowli,Tennis Arena 008,Outdoor,1,3,650,20,630,Net Banking,Completed,,Website,13,3.6,15,February,Weekday,Tuesday,0
B000018,U02852,V087,2026-01-05,13:00:00,Table Tennis,Chennai,Anna Nagar,Table Tennis Arena 087,Outdoor,1,2,400,0,400,UPI,Completed,,App,11,5.0,13,January,Weekday,Monday,0
B000019,U00364,V059,2026-05-16,22:00:00,Badminton,Bengaluru,Koramangala,Badminton Arena 059,Outdoor,1,2,650,0,650,Net Banking,Completed,,App,2,4.4,22,May,Weekend,Saturday,0
B000020,U02519,V011,2026-08-14,17:30:00,Cricket,Bengaluru,Whitefield,Cricket Arena 011,Outdoor,1,9,1750,0,1750,Wallet,Completed,,Website,3,4.6,17,August,Weekday,Friday,0
B000021,U00500,V087,2026-07-03,19:30:00,Table Tennis,Chennai,Anna Nagar,Table Tennis Arena 087,Outdoor,1,2,400,0,400,Wallet,Completed,,App,8,4.3,19,July,Weekday,Friday,0
B000022,U03054,V036,2026-06-02,12:00:00,Badminton,Pune,Wakad,Badminton Arena 036,Indoor,1,4,450,0,450,Card,Completed,,Website,11,4.0,12,June,Weekday,Tuesday,0
B000023,U02471,V028,2026-04-01,15:00:00,Badminton,Bengaluru,Indiranagar,Badminton Arena 028,Indoor,1,2,700,0,700,Net Banking,Completed,,Website,14,3.8,15,April,Weekday,Wednesday,0
B000024,U00579,V081,2026-06-29,17:00:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 081,Outdoor,1,2,800,120,680,UPI,Completed,,App,2,4.9,17,June,Weekday,Monday,0
B000025,U03865,V072,2026-02-21,13:00:00,Cricket,Bengaluru,Indiranagar,Cricket Arena 072,Indoor,1,6,1500,45,1455,UPI,Completed,,App,8,4.3,13,February,Weekend,Saturday,0
B000026,U01258,V001,2026-05-15,16:00:00,Cricket,Mumbai,Andheri,Cricket Arena 001,Indoor,1,11,2000,0,2000,UPI,Completed,,App,1,3.8,16,May,Weekday,Friday,0
B000027,U02973,V093,2026-07-08,21:30:00,Tennis,Hyderabad,Kondapur,Tennis Arena 093,Indoor,1,3,650,0,650,Wallet,Cancelled,Price,App,9,,21,July,Weekday,Wednesday,1
B000028,U03986,V052,2026-08-16,21:00:00,Badminton,Bengaluru,Electronic City,Badminton Arena 052,Indoor,1,2,850,0,850,Card,Completed,,App,14,3.4,21,August,Weekend,Sunday,0
B000029,U02989,V003,2026-08-12,15:00:00,Badminton,Bengaluru,Whitefield,Badminton Arena 003,Indoor,2,1,1500,0,1500,UPI,Completed,,App,2,4.0,15,August,Weekday,Wednesday,0
B000030,U01525,V013,2026-08-01,16:00:00,Badminton,Bengaluru,Electronic City,Badminton Arena 013,Indoor,1,3,950,0,950,Card,Completed,,App,4,3.8,16,August,Weekend,Saturday,0
B000031,U04454,V097,2026-02-16,13:30:00,Cricket,Bengaluru,HSR Layout,Cricket Arena 097,Indoor,1,9,1650,0,1650,Wallet,Completed,,Website,1,4.1,13,February,Weekday,Monday,0
B000032,U04222,V023,2026-05-07,22:00:00,Tennis,Hyderabad,Kondapur,Tennis Arena 023,Outdoor,1,4,700,0,700,Card,Completed,,App,3,3.6,22,May,Weekday,Thursday,0
B000033,U00252,V087,2026-03-23,16:30:00,Table Tennis,Chennai,Anna Nagar,Table Tennis Arena 087,Outdoor,1,2,400,12,388,Wallet,Completed,,App,9,4.2,16,March,Weekday,Monday,0
B000034,U00382,V034,2026-03-07,13:00:00,Badminton,Chennai,Adyar,Badminton Arena 034,Indoor,1,3,650,0,650,Card,Completed,,App,12,4.0,13,March,Weekend,Saturday,0
B000035,U01805,V026,2026-07-06,19:00:00,Badminton,Hyderabad,Banjara Hills,Badminton Arena 026,Outdoor,1,2,750,22,728,Card,Completed,,App,9,3.8,19,July,Weekday,Monday,0
B000036,U01988,V005,2026-08-26,16:30:00,Tennis,Hyderabad,Kondapur,Tennis Arena 005,Indoor,1,4,550,16,534,Card,Completed,,App,2,4.5,16,August,Weekday,Wednesday,0
B000037,U04813,V008,2026-08-22,17:00:00,Tennis,Hyderabad,Gachibowli,Tennis Arena 008,Outdoor,1,3,650,0,650,Net Banking,Completed,,App,11,3.7,17,August,Weekend,Saturday,0
B000038,U02500,V081,2026-05-13,19:30:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 081,Outdoor,1,1,800,0,800,UPI,Completed,,App,7,4.7,19,May,Weekday,Wednesday,0
B000039,U02643,V025,2026-06-21,15:30:00,Cricket,Pune,Wakad,Cricket Arena 025,Outdoor,1,8,1450,116,1334,Card,Completed,,App,6,3.9,15,June,Weekend,Sunday,0
B000040,U00024,V087,2026-06-19,17:30:00,Table Tennis,Chennai,Anna Nagar,Table Tennis Arena 087,Outdoor,2,1,800,120,680,Card,Completed,,App,3,4.7,17,June,Weekday,Friday,0
B000041,U00353,V055,2026-03-02,08:00:00,Football,Bengaluru,Koramangala,Football Arena 055,Indoor,1,9,1200,0,1200,Card,Completed,,App,8,4.3,8,March,Weekday,Monday,0
B000042,U04791,V028,2026-07-10,14:30:00,Badminton,Bengaluru,Indiranagar,Badminton Arena 028,Indoor,1,2,700,0,700,UPI,Completed,,App,14,4.0,14,July,Weekday,Friday,0
B000043,U04089,V098,2026-02-19,12:30:00,Badminton,Mumbai,Powai,Badminton Arena 098,Outdoor,1,2,600,0,600,UPI,Completed,,App,2,4.2,12,February,Weekday,Thursday,0
B000044,U04611,V008,2026-06-15,18:00:00,Tennis,Hyderabad,Gachibowli,Tennis Arena 008,Outdoor,1,4,650,0,650,Card,Completed,,App,9,3.4,18,June,Weekday,Monday,0
B000045,U00771,V019,2026-08-08,14:00:00,Tennis,Mumbai,Powai,Tennis Arena 019,Outdoor,1,2,650,0,650,UPI,Completed,,App,10,4.9,14,August,Weekend,Saturday,0
B000046,U04754,V013,2026-08-11,19:00:00,Badminton,Bengaluru,Electronic City,Badminton Arena 013,Indoor,1,1,950,0,950,Card,Completed,,App,9,3.8,19,August,Weekday,Tuesday,0
B000047,U02882,V026,2026-07-01,19:00:00,Badminton,Hyderabad,Banjara Hills,Badminton Arena 026,Outdoor,1,1,750,0,750,UPI,Completed,,App,9,4.3,19,July,Weekday,Wednesday,0
B000048,U01748,V039,2026-06-21,19:00:00,Badminton,Hyderabad,Madhapur,Badminton Arena 039,Outdoor,1,1,650,52,598,Card,Completed,,App,6,4.9,19,June,Weekend,Sunday,0
B000049,U01051,V051,2026-06-01,11:00:00,Badminton,Chennai,Anna Nagar,Badminton Arena 051,Indoor,2,3,1200,0,1200,Wallet,Cancelled,Price,App,13,,11,June,Weekday,Monday,1
B000050,U00622,V006,2026-05-08,17:30:00,Badminton,Hyderabad,Kukatpally,Badminton Arena 006,Outdoor,2,4,1300,39,1261,Card,Completed,,App,11,3.7,17,May,Weekday,Friday,0
B000051,U00019,V013,2026-03-04,18:00:00,Badminton,Bengaluru,Electronic City,Badminton Arena 013,Indoor,1,2,950,0,950,Wallet,Completed,,App,1,3.8,18,March,Weekday,Wednesday,0
B000052,U02576,V052,2026-08-13,15:30:00,Badminton,Bengaluru,Electronic City,Badminton Arena 052,Indoor,1,4,850,0,850,UPI,Cancelled,Price,App,9,,15,August,Weekday,Thursday,1
B000053,U00794,V087,2026-06-16,14:30:00,Table Tennis,Chennai,Anna Nagar,Table Tennis Arena 087,Outdoor,1,1,400,0,400,UPI,Completed,,App,5,4.6,14,June,Weekday,Tuesday,0
B000054,U03342,V036,2026-05-20,18:00:00,Badminton,Pune,Wakad,Badminton Arena 036,Indoor,1,3,450,0,450,Card,Completed,,App,9,4.6,18,May,Weekday,Wednesday,0
B000055,U03740,V017,2026-07-10,15:30:00,Cricket,Pune,Hinjewadi,Cricket Arena 017,Outdoor,1,12,2250,0,2250,UPI,Completed,,App,13,4.3,15,July,Weekday,Friday,0
B000056,U01903,V065,2026-04-13,14:30:00,Cricket,Bengaluru,Koramangala,Cricket Arena 065,Outdoor,1,9,2100,0,2100,UPI,Completed,,App,12,4.0,14,April,Weekday,Monday,0
B000057,U04638,V043,2026-01-09,17:00:00,Badminton,Bengaluru,Whitefield,Badminton Arena 043,Indoor,1,1,650,20,630,Net Banking,Completed,,App,1,4.4,17,January,Weekday,Friday,0
B000058,U04713,V013,2026-03-20,17:00:00,Badminton,Bengaluru,Electronic City,Badminton Arena 013,Indoor,1,3,950,0,950,UPI,Completed,,Website,11,3.7,17,March,Weekday,Friday,0
B000059,U01941,V092,2026-03-28,19:00:00,Badminton,Pune,Baner,Badminton Arena 092,Outdoor,1,3,650,0,650,UPI,Completed,,App,2,4.6,19,March,Weekend,Saturday,0
B000060,U01207,V063,2026-08-24,08:30:00,Basketball,Bengaluru,Jayanagar,Basketball Arena 063,Indoor,2,2,1800,54,1746,UPI,Completed,,App,9,4.3,8,August,Weekday,Monday,0
B000061,U04081,V055,2026-04-19,13:30:00,Football,Bengaluru,Koramangala,Football Arena 055,Indoor,1,7,1200,0,1200,Card,Completed,,App,9,3.3,13,April,Weekend,Sunday,0
B000062,U00165,V078,2026-01-22,19:00:00,Cricket,Mumbai,Thane,Cricket Arena 078,Indoor,1,8,1450,0,1450,UPI,Completed,,App,1,4.3,19,January,Weekday,Thursday,0
B000063,U03758,V014,2026-02-05,17:00:00,Cricket,Chennai,Velachery,Cricket Arena 014,Indoor,1,9,2100,0,2100,Wallet,Completed,,App,11,4.4,17,February,Weekday,Thursday,0
B000064,U02912,V071,2026-03-15,19:30:00,Badminton,Pune,Wakad,Badminton Arena 071,Indoor,2,2,1300,0,1300,Card,Completed,,App,7,4.1,19,March,Weekend,Sunday,0
B000065,U03166,V041,2026-06-05,16:30:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 041,Outdoor,1,2,450,0,450,Wallet,Completed,,App,2,4.5,16,June,Weekday,Friday,0
B000066,U01212,V043,2026-02-25,16:00:00,Badminton,Bengaluru,Whitefield,Badminton Arena 043,Indoor,2,3,1300,0,1300,UPI,Completed,,Website,11,4.3,16,February,Weekday,Wednesday,0
B000067,U03160,V063,2026-04-09,15:30:00,Basketball,Bengaluru,Jayanagar,Basketball Arena 063,Indoor,1,2,900,0,900,UPI,Completed,,App,3,3.6,15,April,Weekday,Thursday,0
B000068,U01482,V082,2026-06-06,18:30:00,Cricket,Hyderabad,Kondapur,Cricket Arena 082,Indoor,2,7,4100,0,4100,Card,Completed,,App,8,3.0,18,June,Weekend,Saturday,0
B000069,U01496,V041,2026-01-05,17:30:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 041,Outdoor,1,4,450,0,450,Card,Completed,,App,2,4.4,17,January,Weekday,Monday,0
B000070,U01793,V009,2026-01-04,15:30:00,Tennis,Bengaluru,Jayanagar,Tennis Arena 009,Indoor,1,3,600,0,600,Wallet,Completed,,App,13,4.4,15,January,Weekend,Sunday,0
B000071,U02420,V020,2026-06-28,13:00:00,Badminton,Bengaluru,HSR Layout,Badminton Arena 020,Indoor,1,2,700,21,679,UPI,Completed,,App,9,4.4,13,June,Weekend,Sunday,0
B000072,U03728,V021,2026-01-15,06:30:00,Basketball,Pune,Viman Nagar,Basketball Arena 021,Outdoor,1,4,1150,0,1150,Card,Completed,,App,6,3.5,6,January,Weekday,Thursday,0
B000073,U00365,V100,2026-08-10,10:30:00,Football,Chennai,OMR,Football Arena 100,Indoor,1,12,1100,33,1067,UPI,Completed,,App,8,3.5,10,August,Weekday,Monday,0
B000074,U04215,V025,2026-07-07,11:30:00,Cricket,Pune,Wakad,Cricket Arena 025,Outdoor,1,8,1450,44,1406,UPI,Completed,,App,10,4.1,11,July,Weekday,Tuesday,0
B000075,U00409,V066,2026-01-26,17:30:00,Badminton,Bengaluru,Marathahalli,Badminton Arena 066,Outdoor,1,1,850,0,850,UPI,Completed,,App,10,3.8,17,January,Weekday,Monday,0
B000076,U00363,V030,2026-01-23,19:30:00,Basketball,Bengaluru,Whitefield,Basketball Arena 030,Indoor,1,2,900,0,900,UPI,Completed,,App,14,4.2,19,January,Weekday,Friday,0
B000077,U03441,V072,2026-05-05,16:00:00,Cricket,Bengaluru,Indiranagar,Cricket Arena 072,Indoor,1,7,1500,0,1500,UPI,Completed,,App,2,3.6,16,May,Weekday,Tuesday,0
B000078,U04419,V025,2026-04-13,16:00:00,Cricket,Pune,Wakad,Cricket Arena 025,Outdoor,1,9,1450,0,1450,Wallet,Completed,,App,7,4.2,16,April,Weekday,Monday,0
B000079,U00758,V094,2026-01-29,11:30:00,Badminton,Pune,Kothrud,Badminton Arena 094,Indoor,1,1,750,0,750,Net Banking,Completed,,App,12,4.6,11,January,Weekday,Thursday,0
B000080,U03366,V030,2026-03-27,20:00:00,Basketball,Bengaluru,Whitefield,Basketball Arena 030,Indoor,1,3,900,0,900,UPI,Completed,,App,10,4.6,20,March,Weekday,Friday,0
B000081,U03552,V077,2026-08-15,18:30:00,Table Tennis,Bengaluru,Yelahanka,Table Tennis Arena 077,Indoor,1,4,300,24,276,Wallet,Completed,,App,13,4.1,18,August,Weekend,Saturday,0
B000082,U02992,V031,2026-02-26,16:30:00,Football,Chennai,Anna Nagar,Football Arena 031,Indoor,1,11,1500,0,1500,UPI,Completed,,App,13,3.6,16,February,Weekday,Thursday,0
B000083,U00448,V096,2026-03-03,10:30:00,Tennis,Bengaluru,Marathahalli,Tennis Arena 096,Outdoor,2,3,1300,0,1300,Card,Cancelled,Personal,App,11,,10,March,Weekday,Tuesday,1
B000084,U03202,V036,2026-07-06,19:30:00,Badminton,Pune,Wakad,Badminton Arena 036,Indoor,1,3,450,0,450,Net Banking,Completed,,Website,8,4.4,19,July,Weekday,Monday,0
B000085,U02752,V041,2026-02-17,12:00:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 041,Outdoor,1,1,450,14,436,UPI,Cancelled,Other,App,7,,12,February,Weekday,Tuesday,1
B000086,U01792,V061,2026-04-21,18:30:00,Cricket,Chennai,OMR,Cricket Arena 061,Outdoor,1,8,2000,0,2000,UPI,Cancelled,Weather,Website,11,,18,April,Weekday,Tuesday,1
B000087,U02390,V029,2026-07-29,15:30:00,Football,Bengaluru,Marathahalli,Football Arena 029,Indoor,1,12,1500,0,1500,Net Banking,Completed,,App,10,4.3,15,July,Weekday,Wednesday,0
B000088,U04571,V034,2026-02-04,20:00:00,Badminton,Chennai,Adyar,Badminton Arena 034,Indoor,1,1,650,0,650,Card,Completed,,App,11,4.2,20,February,Weekday,Wednesday,0
B000089,U00291,V019,2026-02-15,17:30:00,Tennis,Mumbai,Powai,Tennis Arena 019,Outdoor,1,1,650,0,650,UPI,Completed,,App,6,4.1,17,February,Weekend,Sunday,0
B000090,U00172,V090,2026-02-02,14:30:00,Badminton,Bengaluru,HSR Layout,Badminton Arena 090,Outdoor,1,2,600,90,510,UPI,Completed,,Website,5,4.9,14,February,Weekday,Monday,0
B000091,U00301,V005,2026-03-12,06:30:00,Tennis,Hyderabad,Kondapur,Tennis Arena 005,Indoor,1,4,550,0,550,UPI,Completed,,App,9,3.9,6,March,Weekday,Thursday,0
B000092,U03167,V020,2026-08-14,13:00:00,Badminton,Bengaluru,HSR Layout,Badminton Arena 020,Indoor,1,4,700,0,700,Net Banking,Completed,,App,1,4.0,13,August,Weekday,Friday,0
B000093,U03977,V078,2026-01-10,15:30:00,Cricket,Mumbai,Thane,Cricket Arena 078,Indoor,1,8,1450,0,1450,UPI,Completed,,App,13,4.0,15,January,Weekend,Saturday,0
B000094,U03015,V029,2026-08-04,18:00:00,Football,Bengaluru,Marathahalli,Football Arena 029,Indoor,1,7,1500,0,1500,UPI,Completed,,App,3,4.1,18,August,Weekday,Tuesday,0
B000095,U02305,V003,2026-08-05,13:30:00,Badminton,Bengaluru,Whitefield,Badminton Arena 003,Indoor,1,4,750,0,750,UPI,Completed,,App,10,4.2,13,August,Weekday,Wednesday,0
B000096,U01747,V084,2026-06-25,14:00:00,Table Tennis,Pune,Hinjewadi,Table Tennis Arena 084,Outdoor,1,1,300,0,300,Net Banking,Completed,,App,14,4.2,14,June,Weekday,Thursday,0
B000097,U00515,V025,2026-02-13,16:30:00,Cricket,Pune,Wakad,Cricket Arena 025,Outdoor,1,7,1450,0,1450,Net Banking,Completed,,App,3,3.4,16,February,Weekday,Friday,0
B000098,U00679,V069,2026-08-07,08:00:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 069,Outdoor,1,1,650,0,650,UPI,Completed,,App,2,4.0,8,August,Weekday,Friday,0
B000099,U03980,V055,2026-05-06,19:00:00,Football,Bengaluru,Koramangala,Football Arena 055,Indoor,1,7,1200,0,1200,Net Banking,Completed,,Website,13,3.6,19,May,Weekday,Wednesday,0
B000100,U03422,V056,2026-04-24,09:00:00,Badminton,Hyderabad,Kondapur,Badminton Arena 056,Outdoor,1,3,750,0,750,Net Banking,Completed,,App,11,4.4,9,April,Weekday,Friday,0
B000101,U02253,V029,2026-07-17,18:30:00,Football,Bengaluru,Marathahalli,Football Arena 029,Indoor,1,9,1500,0,1500,Card,Completed,,App,12,3.7,18,July,Weekday,Friday,0
B000102,U04786,V041,2026-05-03,14:30:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 041,Outdoor,1,2,450,0,450,Net Banking,Completed,,App,7,4.5,14,May,Weekend,Sunday,0
B000103,U00344,V002,2026-03-04,16:00:00,Tennis,Mumbai,Thane,Tennis Arena 002,Indoor,1,1,750,22,728,UPI,Completed,,App,1,4.1,16,March,Weekday,Wednesday,0
B000104,U00029,V006,2026-02-18,16:00:00,Badminton,Hyderabad,Kukatpally,Badminton Arena 006,Outdoor,1,3,650,0,650,UPI,Completed,,App,2,4.0,16,February,Weekday,Wednesday,0
B000105,U03448,V100,2026-07-19,14:30:00,Football,Chennai,OMR,Football Arena 100,Indoor,1,10,1100,0,1100,UPI,Completed,,Website,2,3.2,14,July,Weekend,Sunday,0
B000106,U02153,V059,2026-03-26,14:30:00,Badminton,Bengaluru,Koramangala,Badminton Arena 059,Outdoor,1,1,650,0,650,UPI,Completed,,App,11,4.5,14,March,Weekday,Thursday,0
B000107,U00107,V065,2026-02-10,21:30:00,Cricket,Bengaluru,Koramangala,Cricket Arena 065,Outdoor,2,11,4200,0,4200,Card,Completed,,App,13,4.3,21,February,Weekday,Tuesday,0
B000108,U04198,V031,2026-07-30,15:00:00,Football,Chennai,Anna Nagar,Football Arena 031,Indoor,1,11,1500,0,1500,UPI,Completed,,App,13,3.5,15,July,Weekday,Thursday,0
B000109,U02600,V091,2026-04-08,13:00:00,Badminton,Pune,Kothrud,Badminton Arena 091,Indoor,1,4,700,0,700,Net Banking,Completed,,App,6,4.2,13,April,Weekday,Wednesday,0
B000110,U03361,V046,2026-02-08,14:00:00,Table Tennis,Bengaluru,Jayanagar,Table Tennis Arena 046,Outdoor,2,1,700,0,700,UPI,Completed,,App,14,3.5,14,February,Weekend,Sunday,0
B000111,U00490,V060,2026-04-17,18:00:00,Cricket,Mumbai,Bandra,Cricket Arena 060,Indoor,2,6,3600,0,3600,Net Banking,Completed,,Website,12,4.0,18,April,Weekday,Friday,0
B000112,U03761,V046,2026-05-31,15:00:00,Table Tennis,Bengaluru,Jayanagar,Table Tennis Arena 046,Outdoor,1,4,350,0,350,Card,Completed,,App,2,3.7,15,May,Weekend,Sunday,0
B000113,U04163,V019,2026-01-13,12:30:00,Tennis,Mumbai,Powai,Tennis Arena 019,Outdoor,1,2,650,0,650,Card,Completed,,App,2,4.5,12,January,Weekday,Tuesday,0
B000114,U03223,V001,2026-04-16,16:30:00,Cricket,Mumbai,Andheri,Cricket Arena 001,Indoor,1,7,2000,0,2000,Card,Completed,,Website,14,4.3,16,April,Weekday,Thursday,0
B000115,U00278,V095,2026-04-21,11:30:00,Football,Pune,Hinjewadi,Football Arena 095,Indoor,1,7,1450,0,1450,Card,Completed,,App,12,4.7,11,April,Weekday,Tuesday,0
B000116,U04077,V018,2026-06-30,16:00:00,Basketball,Mumbai,Bandra,Basketball Arena 018,Indoor,1,2,950,0,950,Net Banking,Completed,,App,10,3.9,16,June,Weekday,Tuesday,0
B000117,U01374,V007,2026-08-19,20:00:00,Cricket,Bengaluru,Yelahanka,Cricket Arena 007,Indoor,1,11,1500,0,1500,Card,Completed,,App,9,4.7,20,August,Weekday,Wednesday,0
B000118,U00628,V032,2026-08-08,15:00:00,Badminton,Pune,Baner,Badminton Arena 032,Outdoor,1,3,750,0,750,Card,Completed,,App,9,4.4,15,August,Weekend,Saturday,0
B000119,U02696,V099,2026-03-11,16:30:00,Badminton,Bengaluru,Marathahalli,Badminton Arena 099,Indoor,1,1,850,0,850,Wallet,Completed,,Website,3,3.7,16,March,Weekday,Wednesday,0
B000120,U01171,V096,2026-02-26,19:30:00,Tennis,Bengaluru,Marathahalli,Tennis Arena 096,Outdoor,1,4,650,0,650,Card,Completed,,App,7,3.3,19,February,Weekday,Thursday,0
B000121,U04461,V059,2026-03-17,16:00:00,Badminton,Bengaluru,Koramangala,Badminton Arena 059,Outdoor,1,4,650,98,552,UPI,Completed,,App,11,3.9,16,March,Weekday,Tuesday,0
B000122,U00678,V065,2026-07-14,08:30:00,Cricket,Bengaluru,Koramangala,Cricket Arena 065,Outdoor,1,10,2100,0,2100,UPI,Completed,,App,4,4.0,8,July,Weekday,Tuesday,0
B000123,U03718,V097,2026-06-25,13:00:00,Cricket,Bengaluru,HSR Layout,Cricket Arena 097,Indoor,1,9,1650,0,1650,UPI,Completed,,App,11,4.6,13,June,Weekday,Thursday,0
B000124,U03362,V012,2026-01-20,20:30:00,Badminton,Pune,Kothrud,Badminton Arena 012,Outdoor,2,2,1000,0,1000,UPI,Completed,,App,7,4.4,20,January,Weekday,Tuesday,0
B000125,U03402,V045,2026-08-21,19:00:00,Cricket,Bengaluru,Indiranagar,Cricket Arena 045,Indoor,1,6,1750,0,1750,Card,Completed,,App,14,4.5,19,August,Weekday,Friday,0
B000126,U02443,V024,2026-08-22,19:00:00,Table Tennis,Bengaluru,Koramangala,Table Tennis Arena 024,Indoor,1,1,500,0,500,UPI,Cancelled,Personal,App,4,,19,August,Weekend,Saturday,1
B000127,U00555,V054,2026-03-03,17:00:00,Badminton,Bengaluru,Jayanagar,Badminton Arena 054,Outdoor,1,3,450,0,450,UPI,Completed,,Website,10,3.9,17,March,Weekday,Tuesday,0
B000128,U00803,V004,2026-06-22,15:30:00,Table Tennis,Hyderabad,Madhapur,Table Tennis Arena 004,Outdoor,1,1,400,0,400,Card,Completed,,App,6,4.7,15,June,Weekday,Monday,0
B000129,U01163,V079,2026-03-04,18:30:00,Badminton,Mumbai,Borivali,Badminton Arena 079,Outdoor,1,2,650,20,630,Wallet,Completed,,App,6,4.9,18,March,Weekday,Wednesday,0
B000130,U00424,V096,2026-05-16,18:00:00,Tennis,Bengaluru,Marathahalli,Tennis Arena 096,Outdoor,1,1,650,0,650,UPI,Completed,,App,7,3.4,18,May,Weekend,Saturday,0
B000131,U01277,V024,2026-06-03,17:30:00,Table Tennis,Bengaluru,Koramangala,Table Tennis Arena 024,Indoor,1,3,500,0,500,Card,Completed,,App,13,4.9,17,June,Weekday,Wednesday,0
B000132,U00416,V023,2026-02-07,16:30:00,Tennis,Hyderabad,Kondapur,Tennis Arena 023,Outdoor,1,1,700,105,595,UPI,Completed,,App,10,3.2,16,February,Weekend,Saturday,0
B000133,U02993,V089,2026-04-02,14:30:00,Badminton,Mumbai,Andheri,Badminton Arena 089,Indoor,1,4,650,0,650,UPI,Completed,,App,5,3.5,14,April,Weekday,Thursday,0
B000134,U02006,V049,2026-04-09,16:00:00,Football,Chennai,Velachery,Football Arena 049,Outdoor,1,8,1150,0,1150,UPI,Completed,,App,3,4.3,16,April,Weekday,Thursday,0
B000135,U02745,V090,2026-04-18,16:00:00,Badminton,Bengaluru,HSR Layout,Badminton Arena 090,Outdoor,1,4,600,0,600,Net Banking,Completed,,App,10,4.4,16,April,Weekend,Saturday,0
B000136,U04673,V021,2026-04-15,13:00:00,Basketball,Pune,Viman Nagar,Basketball Arena 021,Outdoor,1,2,1150,0,1150,UPI,Completed,,App,3,4.3,13,April,Weekday,Wednesday,0
