booking_id,cancellation_time,cancellation_reason,final_amount
B001413,2026-06-20 04:30:00,Price,1600
B001416,2026-06-14 05:00:00,Weather,450
B001424,2026-02-20 08:30:00,Personal,850
B001436,2026-03-05 22:00:00,Personal,630
B001454,2026-03-28 09:00:00,Weather,800
B001455,2026-06-06 02:00:00,Personal,1000
B001459,2026-01-07 17:30:00,Personal,800
B001469,2026-05-21 14:00:00,Price,1750
B001475,2026-02-25 09:00:00,Personal,650
B001477,2026-08-09 07:30:00,Personal,700
B001484,2026-05-17 21:30:00,Weather,700
B001486,2026-03-10 19:00:00,Price,1500
B001499,2026-03-26 23:00:00,Price,650
B001513,2026-07-24 04:00:00,Other,1150
B001543,2026-06-21 12:30:00,Price,400
B001552,2026-08-21 19:30:00,Price,800
B001561,2026-07-11 03:30:00,Weather,750
B001565,2026-07-22 03:30:00,Personal,400
B001574,2026-06-06 04:00:00,Personal,650
B001579,2026-08-01 10:30:00,Venue Issue,650
B001614,2026-08-05 02:00:00,Other,679
B001615,2026-06-26 05:30:00,Other,600
B001624,2026-04-04 23:00:00,Personal,4074
B001643,2026-07-18 14:30:00,Personal,1500
B001652,2026-06-10 18:30:00,Weather,2231
B001675,2026-02-12 12:30:00,Personal,2910
B001696,2026-05-30 13:30:00,Weather,679
B001716,2026-03-15 15:30:00,Price,1650
B001735,2026-01-08 15:30:00,Personal,922
B001756,2026-04-10 04:00:00,Personal,644
B001761,2026-08-22 07:00:00,Price,650
B001777,2026-05-29 05:30:00,Personal,776
B001780,2026-06-06 17:00:00,Price,650
B001783,2026-07-31 06:00:00,Weather,450
B001792,2026-01-17 17:30:00,Price,900
B001794,2026-08-21 17:30:00,Weather,650
B001835,2026-01-30 10:30:00,Weather,500
B001854,2026-05-13 03:30:00,Personal,600
B001858,2026-08-30 03:30:00,Personal,400
B001862,2026-07-30 09:00:00,Venue Issue,4200
B001865,2026-02-24 10:00:00,Weather,3700
B001902,2026-03-31 09:00:00,Venue Issue,750
B001909,2026-03-07 12:30:00,Weather,1850
B001924,2026-03-01 08:00:00,Price,1380
B001931,2026-01-01 13:30:00,Weather,650
B001962,2026-08-27 20:00:00,Personal,650
B001971,2026-05-21 03:00:00,Other,1932
B001980,2026-06-09 11:30:00,Price,630
B001996,2026-02-14 07:30:00,Weather,2000
B001998,2026-01-25 03:30:00,Personal,1100
B002004,2026-07-18 03:00:00,Weather,900
B002016,2026-07-26 15:30:00,Venue Issue,1750
B002020,2026-07-03 20:30:00,Venue Issue,600
B002027,2026-04-11 13:00:00,Weather,4200
B002049,2026-02-19 21:00:00,Weather,750
B002052,2026-05-28 16:30:00,Personal,679
B002055,2026-03-29 03:30:00,Personal,800
B002060,2026-07-17 21:00:00,Venue Issue,1600
B002067,2026-06-20 02:30:00,Price,450
B002082,2026-08-18 01:00:00,Weather,414
B002106,2026-03-01 15:00:00,Personal,1500
B002107,2026-06-16 20:00:00,Personal,450
B002108,2026-03-23 10:00:00,Personal,650
B002116,2026-07-21 16:00:00,Price,600
B002120,2026-04-23 17:00:00,Other,500
B002131,2026-03-06 22:30:00,Weather,350
B002148,2026-05-07 11:30:00,Weather,750
B002170,2026-08-14 14:30:00,Personal,750
B002174,2026-03-11 19:30:00,Price,550
B002181,2026-03-19 16:30:00,Weather,2200
B002187,2026-02-19 16:30:00,Personal,1600
B002201,2026-03-18 13:00:00,Weather,700
B002227,2026-06-28 19:30:00,Price,1455
B002234,2026-03-13 14:30:00,Personal,1500
B002249,2026-05-23 22:30:00,Personal,1500
B002262,2026-07-04 11:00:00,Other,450
B002271,2026-03-15 22:00:00,Price,2300
B002277,2026-07-15 23:00:00,Personal,600
B002280,2026-03-14 00:00:00,Price,1500
B002306,2026-04-10 11:30:00,Weather,1500
B002315,2026-03-12 18:00:00,Personal,600
B002323,2026-05-10 18:00:00,Other,1200
B002324,2026-05-22 09:00:00,Personal,750
B002348,2026-06-08 08:00:00,Weather,388
B002388,2026-07-20 00:00:00,Other,750
B002400,2026-03-24 13:00:00,Price,3700
B002404,2026-03-27 19:30:00,Personal,1400
B002411,2026-05-29 06:00:00,Personal,1450
B002424,2026-08-06 04:30:00,Personal,679
B002447,2026-05-04 21:00:00,Weather,2050
B002448,2026-04-17 08:00:00,Venue Issue,600
B002451,2026-07-16 22:30:00,Price,630
B002465,2026-03-10 00:30:00,Price,2000
B002469,2026-08-22 21:30:00,Weather,900
B002473,2026-02-01 15:00:00,Weather,650
B002474,2026-05-01 03:00:00,Weather,2400
B002484,2026-02-19 01:00:00,Weather,1200
B002486,2026-07-18 12:30:00,Other,1500
B002487,2026-02-26 11:00:00,Weather,1116
B002505,2026-02-13 21:30:00,Personal,600
B002507,2026-04-05 05:30:00,Other,650
B002519,2026-03-22 02:30:00,Weather,1500
B002530,2026-01-05 03:30:00,Personal,1200
B002538,2026-01-15 17:00:00,Personal,700
B002551,2026-08-16 00:00:00,Personal,1450
B002569,2026-01-04 06:30:00,Personal,350
B002579,2026-04-28 05:00:00,Weather,1450
B002587,2026-03-22 13:00:00,Personal,600
B002591,2026-01-18 06:00:00,Price,400
B002617,2026-04-30 00:00:00,Price,1600
B002664,2026-03-01 07:00:00,Personal,850
B002680,2026-06-05 00:00:00,Weather,1500
B002683,2026-01-04 01:00:00,Price,450
B002684,2026-07-10 00:30:00,Venue Issue,322
B002705,2026-05-12 00:00:00,Price,750
B002712,2026-07-05 14:00:00,Personal,650
B002716,2026-07-05 05:00:00,Other,2100
B002717,2026-03-03 02:30:00,Personal,1750
B002719,2026-06-24 08:30:00,Price,850
B002729,2026-08-29 07:00:00,Price,300
B002730,2026-08-08 03:00:00,Weather,1200
B002753,2026-05-20 20:30:00,Weather,550
B002759,2026-07-27 04:00:00,Personal,1650
B002762,2026-08-08 21:00:00,Weather,1150
B002767,2026-03-01 03:00:00,Venue Issue,2037
B002783,2026-06-13 06:00:00,Personal,2328
B002785,2026-04-10 13:30:00,Personal,650
B002808,2026-05-01 18:30:00,Other,644
B002818,2026-01-09 17:30:00,Personal,3300
B002824,2026-08-11 04:00:00,Personal,650
B002827,2026-06-04 06:00:00,Venue Issue,1450
B002843,2026-06-18 07:30:00,Price,340
B002865,2026-06-01 05:30:00,Price,1450
B002873,2026-01-28 23:00:00,Personal,2000
B002899,2026-08-01 23:00:00,Weather,300
B002903,2026-06-16 08:30:00,Price,650
B002907,2026-08-14 03:00:00,Venue Issue,400
B002909,2026-06-14 23:30:00,Weather,3500
B003000,2026-07-19 13:00:00,Personal,600
B003027,2026-08-16 13:00:00,Personal,1380
B003052,2026-03-03 08:30:00,Weather,1200
B003070,2026-01-27 03:00:00,Weather,400
B003072,2026-04-01 03:30:00,Price,500
B003087,2026-03-03 12:30:00,Weather,1850
B003101,2026-04-19 16:30:00,Personal,4000
B003155,2026-04-24 00:30:00,Venue Issue,400
B003168,2026-04-12 20:30:00,Weather,1200
B003170,2026-02-09 16:00:00,Price,550
B003229,2026-03-24 19:00:00,Personal,400
B003239,2026-05-06 05:00:00,Personal,600
B003250,2026-06-07 17:00:00,Personal,1150
B003252,2026-04-23 02:30:00,Other,700
B003275,2026-02-14 12:00:00,Other,1288
B003280,2026-04-09 23:00:00,Personal,1300
B003283,2026-08-04 08:00:00,Personal,700
B003297,2026-02-10 09:00:00,Weather,1058
B003313,2026-03-12 14:30:00,Weather,506
B003317,2026-07-12 05:30:00,Personal,1850
B003325,2026-03-26 17:30:00,Personal,2050
B003340,2026-08-27 09:30:00,Venue Issue,650
B003357,2026-03-19 22:30:00,Personal,700
B003368,2026-06-29 08:30:00,Weather,2050
B003374,2026-05-29 19:00:00,Weather,650
B003384,2026-07-24 21:30:00,Personal,650
B003406,2026-03-20 08:30:00,Weather,600
B003413,2026-02-01 01:30:00,Personal,500
B003414,2026-08-20 05:00:00,Personal,1450
B003419,2026-06-13 06:30:00,Price,650
B003431,2026-05-27 03:00:00,Personal,600
B003443,2026-05-20 00:00:00,Venue Issue,1750
B003454,2026-04-18 11:30:00,Price,650
B003455,2026-08-22 11:00:00,Other,650
B003459,2026-08-04 23:30:00,Price,400
B003467,2026-06-12 18:00:00,Personal,1500
B003475,2026-04-22 00:30:00,Personal,650
B003482,2026-01-31 12:30:00,Personal,630
B003489,2026-01-15 04:30:00,Venue Issue,950
B003495,2026-01-23 00:00:00,Personal,2050
B003509,2026-04-28 09:00:00,Other,650
B003514,2026-08-21 02:30:00,Price,550
B003519,2026-01-16 15:30:00,Price,800
B003532,2026-01-11 16:00:00,Personal,1200
B003560,2026-07-06 15:00:00,Venue Issue,600
B003579,2026-06-06 11:30:00,Other,650
B003597,2026-02-02 21:30:00,Price,1400
B003622,2026-06-25 20:00:00,Other,750
B003623,2026-01-23 17:30:00,Price,1500
B003624,2026-02-16 12:30:00,Weather,700
B003681,2026-04-10 09:30:00,Price,1600
B003690,2026-04-08 10:00:00,Venue Issue,700
B003702,2026-01-05 14:30:00,Personal,950
B003711,2026-04-30 16:00:00,Personal,1450
B003713,2026-01-18 00:30:00,Price,900
B003724,2026-07-29 08:30:00,Other,552
B003728,2026-06-11 19:00:00,Venue Issue,450
B003746,2026-02-14 17:30:00,Price,600
B003748,2026-05-04 07:30:00,Venue Issue,750
B003774,2026-01-30 19:30:00,Venue Issue,300
B003781,2026-07-24 03:00:00,Weather,400
B003795,2026-08-05 02:00:00,Weather,450
B003812,2026-03-24 10:00:00,Other,300
B003827,2026-06-28 07:30:00,Personal,800
B003862,2026-06-04 09:30:00,Price,600
B003864,2026-03-16 10:30:00,Personal,436
B003880,2026-07-18 11:00:00,Venue Issue,450
B003888,2026-01-27 08:30:00,Weather,1164
B003910,2026-05-13 20:30:00,Personal,2000
B003926,2026-04-28 04:00:00,Personal,2400
B003945,2026-07-08 14:30:00,Price,1794
B003955,2026-07-20 13:30:00,Weather,500
B003962,2026-08-26 09:30:00,Other,900
B003974,2026-04-29 20:00:00,Price,300
B004034,2026-08-05 10:00:00,Weather,3000
B004043,2026-04-19 08:00:00,Venue Issue,1300
B004048,2026-03-27 18:00:00,Personal,1150
B004061,2026-04-23 23:30:00,Personal,300
B004064,2026-05-23 15:30:00,Personal,1800
B004105,2026-03-25 16:30:00,Weather,650
B004106,2026-03-14 21:00:00,Weather,679
B004117,2026-01-05 23:30:00,Price,2975
B004147,2026-05-03 13:30:00,Price,650
B004155,2026-02-13 06:00:00,Weather,600
B004158,2026-01-13 05:30:00,Other,582
B004184,2026-02-07 12:00:00,Personal,600
B004203,2026-01-08 15:30:00,Personal,400
B004205,2026-08-01 16:00:00,Venue Issue,650
B004214,2026-01-01 09:00:00,Other,1450
B004223,2026-03-16 00:00:00,Personal,2000
B004225,2026-01-06 17:00:00,Venue Issue,1200
B004238,2026-07-18 20:30:00,Venue Issue,1164
B004241,2026-03-14 08:30:00,Personal,1750
B004247,2026-05-13 03:00:00,Weather,750
B004253,2026-04-13 20:00:00,Personal,650
B004262,2026-05-26 09:30:00,Personal,1800
B004264,2026-07-04 22:00:00,Price,2250
B004266,2026-04-25 01:00:00,Price,1200
B004270,2026-01-02 04:00:00,Personal,400
B004289,2026-08-29 02:30:00,Weather,2000
B004299,2026-03-18 16:30:00,Weather,1794
B004320,2026-01-08 05:30:00,Weather,750
B004329,2026-01-29 18:00:00,Weather,650
B004334,2026-02-12 05:30:00,Personal,2900
B004361,2026-08-20 07:30:00,Personal,1450
B004379,2026-04-27 19:30:00,Price,291
B004380,2026-01-24 13:30:00,Personal,874
B004387,2026-01-30 23:30:00,Personal,2050
B004407,2026-04-14 09:00:00,Weather,650
B004437,2026-03-14 17:00:00,Venue Issue,500
B004463,2026-01-24 16:00:00,Personal,650
B004467,2026-01-28 07:00:00,Weather,2250
B004479,2026-02-04 08:30:00,Price,500
B004485,2026-07-03 02:30:00,Weather,650
B004489,2026-08-10 10:30:00,Weather,1850
B004493,2026-03-26 13:30:00,Personal,900
B004525,2026-06-28 10:00:00,Personal,650
B004533,2026-07-30 20:30:00,Personal,650
B004544,2026-01-09 09:00:00,Price,750
B004556,2026-01-29 18:00:00,Weather,600
B004607,2026-05-18 00:00:00,Weather,750
B004612,2026-03-20 11:30:00,Other,1200
B004621,2026-01-31 07:00:00,Price,450
B004625,2026-05-03 02:00:00,Price,600
B004629,2026-08-24 06:00:00,Personal,1800
B004636,2026-03-03 21:30:00,Price,1500
B004645,2026-05-06 03:30:00,Price,1450
B004646,2026-07-05 17:00:00,Weather,800
B004672,2026-07-06 05:00:00,Personal,276
B004674,2026-01-25 00:00:00,Price,2037
B004694,2026-06-20 11:00:00,Personal,1500
B004715,2026-03-28 16:30:00,Weather,1100
B004721,2026-06-19 20:30:00,Weather,1450
B004724,2026-05-19 19:00:00,Personal,1450
B004734,2026-04-13 05:00:00,Personal,1334
B004754,2026-04-26 11:00:00,Weather,650
B004773,2026-04-26 17:30:00,Weather,800
B004779,2026-08-02 09:30:00,Weather,690
B004780,2026-01-04 07:30:00,Personal,600
B004838,2026-04-21 03:30:00,Personal,1794
B004856,2026-06-07 07:00:00,Personal,800
B004859,2026-08-21 12:00:00,Personal,1450
B004862,2026-07-01 07:00:00,Weather,679
B004872,2026-01-11 09:30:00,Weather,650
B004887,2026-04-11 20:00:00,Personal,400
B004889,2026-05-30 01:30:00,Price,400
B004892,2026-06-25 18:00:00,Price,550
B004901,2026-08-09 04:00:00,Weather,1750
B004922,2026-05-24 00:30:00,Personal,2200
B004935,2026-04-17 16:30:00,Personal,425
B004962,2026-01-20 22:00:00,Weather,4500
B004965,2026-06-22 09:00:00,Personal,400
B004971,2026-05-30 17:00:00,Price,1750
B004978,2026-05-24 22:00:00,Weather,650
B004980,2026-01-12 00:30:00,Weather,500
B004991,2026-08-09 22:00:00,Personal,1402
B004993,2026-04-17 05:30:00,Personal,650
B005002,2026-07-19 23:00:00,Weather,850
B005019,2026-08-09 15:00:00,Venue Issue,750
B005023,2026-03-02 09:30:00,Weather,1100
B005027,2026-05-03 11:00:00,Personal,1406
B005034,2026-07-04 07:30:00,Price,400
B005041,2026-05-16 04:00:00,Weather,2000
B005045,2026-08-25 12:00:00,Other,1750
B005059,2026-08-26 11:00:00,Personal,728
B005074,2026-06-05 16:30:00,Weather,1850
B005095,2026-08-01 15:30:00,Personal,650
B005101,2026-08-12 18:30:00,Venue Issue,582
B005113,2026-06-20 18:30:00,Other,550
B005114,2026-04-25 09:30:00,Personal,600
B005120,2026-05-04 06:00:00,Price,1100
B005124,2026-01-20 19:00:00,Personal,1500
B005127,2026-01-05 13:00:00,Weather,1698
B005165,2026-06-06 16:00:00,Personal,1850
B005185,2026-01-31 20:30:00,Other,1500
B005211,2026-03-28 16:30:00,Venue Issue,750
B005236,2026-02-08 04:30:00,Venue Issue,650
B005246,2026-03-28 21:00:00,Weather,1100
B005248,2026-06-27 12:00:00,Personal,1000
B005252,2026-04-08 23:00:00,Price,750
B005289,2026-03-28 08:00:00,Personal,500
B005302,2026-02-07 11:30:00,Personal,1100
B005317,2026-02-08 15:00:00,Personal,650
B005351,2026-06-27 02:00:00,Personal,1850
B005353,2026-06-08 19:00:00,Weather,850
B005359,2026-04-10 21:30:00,Personal,1450
B005369,2026-05-18 11:30:00,Venue Issue,368
B005379,2026-07-26 05:00:00,Personal,550
B005384,2026-08-27 13:30:00,Price,1843
B005386,2026-01-26 13:30:00,Weather,650
B005388,2026-06-08 17:30:00,Personal,700
B005398,2026-06-13 01:00:00,Weather,450
B005399,2026-05-06 23:00:00,Personal,750
B005403,2026-08-02 09:30:00,Other,630
B005413,2026-08-29 09:00:00,Personal,800
B005421,2026-01-20 21:30:00,Personal,2975
B005425,2026-04-30 20:30:00,Weather,728
B005442,2026-08-14 03:00:00,Personal,4100
B005447,2026-02-23 22:30:00,Price,700
B005487,2026-02-05 22:30:00,Price,1164
B005493,2026-06-25 22:30:00,Personal,650
B005496,2026-06-12 23:30:00,Price,1200
B005501,2026-04-20 06:00:00,Personal,2000
B005532,2026-06-06 21:30:00,Other,1650
B005555,2026-03-21 02:30:00,Personal,1455
B005556,2026-04-14 12:30:00,Price,800
B005561,2026-05-24 08:30:00,Weather,1500
B005582,2026-04-21 00:00:00,Price,300
B005585,2026-04-03 22:00:00,Personal,550
B005597,2026-05-20 16:00:00,Venue Issue,873
B005599,2026-04-13 22:30:00,Price,650
B005601,2026-03-06 03:30:00,Personal,800
B005604,2026-07-23 00:00:00,Weather,2300
B005612,2026-04-07 07:00:00,Weather,1500
B005613,2026-07-08 05:00:00,Personal,1300
B005646,2026-05-10 03:00:00,Other,1900
B005664,2026-04-13 02:00:00,Price,1500
B005686,2026-08-10 09:30:00,Personal,552
B005687,2026-01-30 14:00:00,Other,750
B005693,2026-02-05 22:30:00,Venue Issue,679
B005694,2026-03-08 08:30:00,Weather,950
B005737,2026-08-30 16:30:00,Personal,4000
B005742,2026-06-06 12:00:00,Personal,2250
B005771,2026-08-16 03:00:00,Weather,3000
B005777,2026-03-20 16:30:00,Personal,300
B005797,2026-02-08 15:30:00,Other,700
B005810,2026-07-23 01:00:00,Weather,3680
B005833,2026-04-14 07:30:00,Price,600
B005848,2026-07-17 23:30:00,Price,650
B005850,2026-05-14 03:30:00,Venue Issue,700
B005860,2026-06-26 16:30:00,Weather,1500
B005885,2026-01-12 17:00:00,Personal,1200
B005902,2026-05-17 05:30:00,Weather,500
B005914,2026-01-08 12:30:00,Venue Issue,500
B005924,2025-12-31 13:30:00,Price,1500
B005950,2026-01-04 13:00:00,Price,1500
B005984,2026-07-31 19:00:00,Weather,600
B005986,2026-05-30 10:30:00,Personal,2116
B005991,2026-07-25 00:00:00,Weather,650
B006007,2026-08-28 21:00:00,Venue Issue,750
B006052,2026-03-09 05:30:00,Weather,1955
B006061,2026-04-13 11:00:00,Price,644
B006064,2026-06-14 11:30:00,Personal,700
B006065,2026-04-14 06:00:00,Personal,700
B006081,2026-05-28 05:30:00,Personal,1500
B006092,2026-03-25 10:30:00,Weather,700
B006113,2026-07-02 10:30:00,Venue Issue,400
B006123,2026-04-24 20:00:00,Price,1450
B006133,2026-06-27 16:00:00,Weather,650
B006134,2026-01-12 05:30:00,Personal,850
B006137,2026-06-15 15:30:00,Weather,400
B006140,2026-01-20 06:00:00,Price,1600
B006152,2026-06-21 11:00:00,Personal,1500
B006171,2026-01-03 20:30:00,Weather,824
B006188,2026-04-30 07:30:00,Venue Issue,650
B006198,2026-05-14 13:00:00,Other,2100
B006199,2026-08-29 10:00:00,Price,700
B006200,2026-05-11 23:30:00,Weather,2182
B006201,2026-01-22 18:30:00,Personal,728
B006205,2026-01-26 20:00:00,Personal,650
B006210,2026-04-24 18:30:00,Personal,600
B006231,2026-06-26 18:30:00,Personal,850
B006239,2026-06-11 22:00:00,Venue Issue,300
B006254,2026-07-31 09:00:00,Personal,2900
B006257,2026-04-20 07:30:00,Price,2000
B006272,2026-06-15 03:00:00,Personal,450
B006278,2026-05-18 19:00:00,Personal,550
B006283,2026-05-12 16:00:00,Personal,500
B006287,2026-03-02 05:30:00,Venue Issue,650
B006295,2026-04-07 11:00:00,Personal,1500
B006307,2026-05-31 07:00:00,Price,4000
B006312,2026-04-22 05:00:00,Personal,650
B006323,2026-07-03 18:30:00,Weather,340
B006329,2026-02-24 23:00:00,Other,3700
B006345,2026-06-10 04:00:00,Personal,776
B006348,2026-01-29 04:30:00,Personal,1600
B006354,2026-02-26 10:30:00,Personal,679
B006356,2026-05-16 19:30:00,Other,800
B006362,2026-03-25 08:30:00,Weather,650
B006368,2026-06-20 04:00:00,Other,595
B006369,2026-06-25 14:00:00,Venue Issue,750
B006388,2026-08-22 18:00:00,Venue Issue,1232
B006398,2026-08-15 19:00:00,Other,1455
B006406,2026-02-20 19:30:00,Price,3000
B006419,2026-06-18 14:30:00,Personal,1600
B006462,2026-06-15 04:30:00,Venue Issue,700
B006472,2026-04-13 12:00:00,Price,1850
B006473,2026-08-21 04:30:00,Personal,1500
B006498,2026-01-01 08:00:00,Personal,1988
B006502,2026-04-23 23:00:00,Personal,1450
B006504,2026-03-08 21:00:00,Personal,679
B006512,2026-06-12 12:30:00,Personal,900
B006522,2026-03-09 18:00:00,Other,679
B006543,2026-07-07 07:00:00,Personal,1000
B006558,2026-04-06 02:30:00,Weather,1200
B006574,2026-08-01 06:00:00,Personal,700
B006587,2026-05-30 13:00:00,Personal,500
B006591,2026-08-04 11:00:00,Weather,1300
B006596,2026-01-30 13:30:00,Weather,550
B006601,2026-04-09 08:30:00,Personal,1450
B006615,2026-03-25 20:00:00,Venue Issue,900
B006638,2026-05-19 09:30:00,Venue Issue,1100
B006640,2026-08-03 22:00:00,Personal,1500
B006653,2026-04-25 16:30:00,Weather,600
B006659,2026-08-14 11:30:00,Personal,600
B006662,2026-01-30 15:30:00,Other,350
B006681,2026-05-21 17:00:00,Personal,679
B006697,2026-06-02 05:30:00,Personal,300
B006703,2026-03-15 12:30:00,Price,2100
B006712,2026-02-03 18:00:00,Price,1200
B006714,2026-08-11 06:00:00,Price,368
B006724,2026-05-29 09:30:00,Price,2000
B006729,2026-01-30 14:00:00,Weather,2050
B006732,2026-02-24 07:00:00,Personal,1200
B006748,2026-08-13 18:00:00,Personal,1750
B006754,2026-08-23 04:00:00,Price,400
B006776,2026-01-29 00:00:00,Personal,800
B006795,2026-01-05 12:00:00,Venue Issue,1500
B006796,2026-03-05 03:00:00,Price,850
B006832,2026-01-07 23:00:00,Venue Issue,1850
B006854,2026-05-15 03:30:00,Personal,1334
B006874,2026-05-27 22:30:00,Price,1150
B006880,2026-06-29 03:30:00,Venue Issue,1300
B006899,2026-02-13 23:30:00,Weather,850
B006909,2026-04-25 07:30:00,Price,2250
B006926,2026-01-23 17:30:00,Weather,800
B006936,2026-06-18 00:30:00,Weather,776
B006957,2026-07-15 09:30:00,Weather,700
B006973,2026-05-30 23:30:00,Personal,600
B006980,2026-03-14 11:00:00,Weather,388
B006981,2026-02-15 02:30:00,Personal,600
B006984,2026-01-19 01:30:00,Venue Issue,1200
B007023,2026-01-16 12:30:00,Price,1750
B007028,2026-08-08 12:30:00,Venue Issue,350
B007044,2026-04-06 20:30:00,Weather,1650
B007046,2026-03-12 23:30:00,Weather,300
B007049,2026-03-11 00:30:00,Personal,400
B007051,2026-03-19 12:00:00,Other,2250
